,Month,Year,Category,ProvidedValue,Country
10834,4,2016,Wind_onshore,5169.8,DE
10835,4,2016,Non_identified_net_gen,,DE
10836,4,2016,Imports,2375.78,DE
10837,4,2016,Exports,5844.73,DE
10838,4,2016,Biogas,,DE
10839,4,2016,Fossil_Mixed_fuels,408.33,DE
10840,4,2016,Fossil_Other,,DE
10841,4,2016,Hydro_Mixed_pumped_storage_non_renewable,75.98,DE
10842,4,2016,Hydro_Mixed_pumped_storage_renewable,,DE
10843,4,2016,Other_non_renewable,,DE
10844,4,2016,Solar_PV,3899.08,DE
10845,4,2016,Solar_Thermal,,DE
10846,4,2016,Waste_non_renewable,375.89,DE
10847,4,2016,Waste_renewable,375.89,DE
10848,4,2016,Consumption_of_pumps,556.52,DE
10849,4,2016,Transmission losses,630.6,DE
10850,5,2016,Biomass,3396.63,DE
10851,5,2016,Fossil_Brown_coal_Lignite,10535.9,DE
10852,5,2016,Fossil_Coal_derived_gas,,DE
10853,5,2016,Fossil_Gas,4258.06,DE
10854,5,2016,Fossil_Hard_coal,6905.8,DE
10855,5,2016,Fossil_Oil,290.62,DE
10856,5,2016,Fossil_Oil_shale,,DE
10857,5,2016,Fossil_Peat,,DE
10858,5,2016,Geothermal,15.06,DE
10859,5,2016,Hydro_Pure_pumped_Storage,440.3,DE
10860,5,2016,Hydro_RunOfRiver_and_poundage,1947.51,DE
10861,5,2016,Hydro_Pure_storage,57.95,DE
10862,5,2016,Hydro_Marine,,DE
10863,5,2016,Nuclear,4860.3,DE
10864,5,2016,Other_renewable,122.81,DE
10865,5,2016,Wind_offshore,936,DE
10866,5,2016,Wind_onshore,5218.96,DE
10867,5,2016,Non_identified_net_gen,,DE
10868,5,2016,Imports,2741.25,DE
10869,5,2016,Exports,5685.12,DE
10870,5,2016,Biogas,,DE
10871,5,2016,Fossil_Mixed_fuels,384.45,DE
10872,5,2016,Fossil_Other,,DE
10873,5,2016,Hydro_Mixed_pumped_storage_non_renewable,47.82,DE
10874,5,2016,Hydro_Mixed_pumped_storage_renewable,,DE
10875,5,2016,Other_non_renewable,,DE
10876,5,2016,Solar_PV,4883.87,DE
10877,5,2016,Solar_Thermal,,DE
10878,5,2016,Waste_non_renewable,423.67,DE
10879,5,2016,Waste_renewable,423.67,DE
10880,5,2016,Consumption_of_pumps,617.5,DE
10881,5,2016,Transmission losses,548.26,DE
10882,6,2016,Biomass,3176.68,DE
10883,6,2016,Fossil_Brown_coal_Lignite,10218.69,DE
10884,6,2016,Fossil_Coal_derived_gas,,DE
10885,6,2016,Fossil_Gas,3762.46,DE
10886,6,2016,Fossil_Hard_coal,8412.61,DE
10887,6,2016,Fossil_Oil,332.87,DE
10888,6,2016,Fossil_Oil_shale,,DE
10889,6,2016,Fossil_Peat,,DE
10890,6,2016,Geothermal,12.86,DE
10891,6,2016,Hydro_Pure_pumped_Storage,409.81,DE
10892,6,2016,Hydro_RunOfRiver_and_poundage,2045.04,DE
10893,6,2016,Hydro_Pure_storage,78.31,DE
10894,6,2016,Hydro_Marine,,DE
10895,6,2016,Nuclear,5959.43,DE
10896,6,2016,Other_renewable,117.18,DE
10897,6,2016,Wind_offshore,566.25,DE
10898,6,2016,Wind_onshore,2854.29,DE
10899,6,2016,Non_identified_net_gen,,DE
10900,6,2016,Imports,3038.1,DE
10901,6,2016,Exports,4743.54,DE
10902,6,2016,Biogas,,DE
10903,6,2016,Fossil_Mixed_fuels,325.31,DE
10904,6,2016,Fossil_Other,,DE
10905,6,2016,Hydro_Mixed_pumped_storage_non_renewable,66.4,DE
10906,6,2016,Hydro_Mixed_pumped_storage_renewable,,DE
10907,6,2016,Other_non_renewable,,DE
10908,6,2016,Solar_PV,4702.95,DE
10909,6,2016,Solar_Thermal,,DE
10910,6,2016,Waste_non_renewable,407.91,DE
10911,6,2016,Waste_renewable,407.91,DE
10912,6,2016,Consumption_of_pumps,600.65,DE
10913,6,2016,Transmission losses,450.16,DE
10914,7,2016,Biomass,3255.22,DE
10915,7,2016,Fossil_Brown_coal_Lignite,11214.84,DE
10916,7,2016,Fossil_Coal_derived_gas,,DE
10917,7,2016,Fossil_Gas,3866.97,DE
10918,7,2016,Fossil_Hard_coal,7146.08,DE
10919,7,2016,Fossil_Oil,341.09,DE
10920,7,2016,Fossil_Oil_shale,,DE
10921,7,2016,Fossil_Peat,,DE
10922,7,2016,Geothermal,9.78,DE
10923,7,2016,Hydro_Pure_pumped_Storage,387.89,DE
10924,7,2016,Hydro_RunOfRiver_and_poundage,2004.57,DE
10925,7,2016,Hydro_Pure_storage,70.47,DE
10926,7,2016,Hydro_Marine,,DE
10927,7,2016,Nuclear,6131.09,DE
10928,7,2016,Other_renewable,117.4,DE
10929,7,2016,Wind_offshore,803.74,DE
10930,7,2016,Wind_onshore,3953.33,DE
10931,7,2016,Non_identified_net_gen,,DE
10932,7,2016,Imports,2436.47,DE
10933,7,2016,Exports,5249.9,DE
10934,7,2016,Biogas,,DE
10935,7,2016,Fossil_Mixed_fuels,311.86,DE
10936,7,2016,Fossil_Other,,DE
